,wi,ph,y,LOCATIONS,y1,Safety
50,83.8,8.0,1.0,"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",1.0,Safe for Drinking
51,84.74285714285715,7.3,1.0,"KALI AT D/S WEST COAST PAPER MILL, KARNATAKA",1.0,Safe for Drinking
52,84.74285714285715,7.1,1.0,KUMARADHARA NAN U/S OF UPPINAGADY TOWN BEFORE CONFLUENCE WITH RIVER NETHRAVATHI,1.0,Safe for Drinking
53,75.2,7.8,0.0,"BUDHABALANGA, D/S OF BARIPADA TOWN",0.0,Not Safe
54,66.62857142857142,8.0,0.0,"RUSHIKULYA AT GANJAM D/S, ORISSA",0.0,Not Safe
55,60.0,8.2,0.0,CORINGA RIVER,0.0,Not Safe
56,48.57142857142857,6.4,0.0,MAHE RIVER,0.0,Not Safe
57,83.8,6.9,1.0,"TAMBIRAPARANI AT MURAPPANADU, TAMILNADU",1.0,Safe for Drinking
59,60.91428571428571,7.3,0.0,"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",0.0,Not Safe
61,58.05714285714286,7.3,0.0,"U/S SARDULGARH, PUNJAB",0.0,Not Safe
62,91.42857142857143,7.3,1.0,RIVER GHAGGAR AT D/S OF SURAJPUR,1.0,Safe for Drinking
64,86.65714285714284,7.6,1.0,"GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629, RAJASTHAN",1.0,Safe for Drinking
65,89.5142857142857,7.3,1.0,"RIVER BANJAR AT MALANJKHAND NEAR W/S INTAKE POINT, JABALPUR",1.0,Safe for Drinking
66,89.5142857142857,7.3,1.0,"BUGI RIVER AT MIBANPARA, SOUTH GARO HILLS",1.0,Safe for Drinking
67,73.31428571428572,7.1,0.0,"UMTREW AT BYRNIHAT EAST, MEGHALAYA",0.0,Not Safe
69,65.71428571428571,7.5,0.0,TLAWNG UPSTREAM AIZAWL,0.0,Not Safe
70,65.71428571428571,7.8,0.0,TUIRIAL LOWER CATCHMENT,0.0,Not Safe
71,84.74285714285715,7.7,1.0,"GUMTI AT U/S SOUTH TRIPURA,TRIPURA",1.0,Safe for Drinking
73,81.88571428571429,7.7,1.0,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, TRIPURA",1.0,Safe for Drinking
74,60.0,7.8,0.0,DAMANGANGA AT D/S OF MADHUBAN,0.0,Not Safe
75,66.65714285714286,7.6,0.0,KOLAK AT PATALIA BDG,0.0,Not Safe
76,84.74285714285715,7.6,1.0,RIVER SINQUERIM NEAR NERUL TEMPLE,1.0,Safe for Drinking
77,84.74285714285715,6.9,1.0,RIVER TALPONA AT CANACONA,1.0,Safe for Drinking
79,86.65714285714284,7.7,1.0,"AMBA AT D/S OF WAKEN BRIDGENANU/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",1.0,Safe for Drinking
80,84.74285714285715,7.2,1.0,ACHENKOIL AT THUMPAMON,1.0,Safe for Drinking
81,76.17142857142858,7.1,0.0,"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",0.0,Not Safe
83,86.65714285714284,7.6,1.0,NAGAVALLI AT THOTAPALLI REGULATOR,1.0,Safe for Drinking
84,86.65714285714284,7.8,1.0,"RIVER VAMSHADHARA, KALINGAPATNAM,VIZIANAGARAM",1.0,Safe for Drinking
87,81.88571428571429,7.1,1.0,KALI AT D/S WEST COAST PAPER MILL,1.0,Safe for Drinking
88,84.74285714285715,7.4,1.0,"KALI AT U/S OF WCPM, DANDELI",1.0,Safe for Drinking
91,75.2,7.9,0.0,"BUDHABALANGA, D/S OF BARIPADA",0.0,Not Safe
92,75.2,8.1,0.0,BUDHABALANGA AT BALASORE D/S,0.0,Not Safe
94,62.857142857142854,7.8,0.0,ARASALAR RIVER KARAIKAL REGION,0.0,Not Safe
95,81.88571428571429,7.5,1.0,PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK,1.0,Safe for Drinking
97,37.142857142857146,8.2,0.0,"DAMANGANGA AT VILLAGE NAMDHA, VAPI",0.0,Not Safe
98,86.65714285714284,7.9,1.0,"AMBA RIVER AT D/S OF WAKEN BRIDGENANU/S OF JS PETRO CHEMICALS, WAKENPHATA, ROHA",1.0,Safe for Drinking
99,81.88571428571429,6.8,1.0,"PAMBA AT THAKAZHY, KERALA",1.0,Safe for Drinking
100,75.22857142857143,7.0,0.0,TUIRIAL UPPER CATCHMENT,0.0,Not Safe
